City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
86,port hardy,50.7,-127.42,35.6,93,75,6.93,CA,1581532233
87,bemidji,47.47,-94.88,5.0,53,1,16.11,US,1581532235
88,saint-philippe,-21.36,55.77,80.6,83,0,3.36,RE,1581532237
89,dikson,73.51,80.55,20.46,92,100,23.55,RU,1581532239
90,outlook,51.5,-107.05,-9.99,62,12,3.69,CA,1581532241
91,uray,60.12,64.78,17.11,95,100,5.44,RU,1581532243
92,batagay-alyta,67.8,130.41,-22.99,99,94,1.68,RU,1581532245
93,southbridge,42.08,-72.03,44.01,44,1,9.17,US,1581532247
94,iquique,-20.22,-70.14,77.0,53,77,14.99,CL,1581532249
95,at-bashi,41.17,75.81,16.45,46,21,10.29,KG,1581532251
96,lompoc,34.64,-120.46,64.99,44,1,4.7,US,1581531979
97,geraldton,-28.77,114.6,75.2,73,75,8.05,AU,1581532255
98,solon,41.39,-81.44,36.0,51,1,9.17,US,1581532258
99,amga,60.9,131.96,-19.75,97,94,3.47,RU,1581532260
100,arman,59.7,150.17,4.64,67,100,3.15,RU,1581532262
101,dingle,11.0,122.67,72.46,92,17,8.01,PH,1581532264
102,atuona,-9.8,-139.03,81.1,78,3,15.08,PF,1581532266
103,cayenne,4.93,-52.33,84.2,70,75,12.75,GF,1581532268
104,san andres,12.58,-81.7,87.8,58,20,12.75,CO,1581532067
105,college,64.86,-147.8,-5.8,63,90,6.93,US,1581532121
106,finnsnes,69.23,17.98,33.8,92,75,13.87,NO,1581532274
107,skjervoy,70.03,20.97,30.2,68,40,20.8,NO,1581532276
108,bandarbeyla,9.49,50.81,77.47,78,23,27.63,SO,1581532278
109,tasiilaq,65.61,-37.64,19.4,79,90,35.57,GL,1581532280
110,richards bay,-28.78,32.04,76.6,71,0,11.88,ZA,1581532282
111,rockhampton,-23.38,150.5,73.4,83,0,4.68,AU,1581532248
112,griffith,41.53,-87.42,37.0,69,40,6.82,US,1581532223
113,fort nelson,58.81,-122.7,-2.2,77,75,4.7,CA,1581532288
114,hualmay,-11.1,-77.61,79.52,59,83,10.4,PE,1581532290
115,kodiak,57.79,-152.41,35.6,80,90,19.46,US,1581532292
116,cacoal,-11.44,-61.45,88.25,64,44,3.67,BR,1581532295
117,anito,12.45,125.29,79.84,76,85,15.93,PH,1581532297
118,tuktoyaktuk,69.45,-133.04,-27.4,67,5,6.93,CA,1581532299
119,santomera,38.06,-1.05,60.01,76,100,6.93,ES,1581532301
120,xinzhou,38.41,112.73,37.08,54,0,3.67,CN,1581532303
121,teya,60.38,92.63,0.84,93,98,5.28,RU,1581532305
122,san luis,-33.3,-66.34,90.7,28,1,23.31,AR,1581532051
123,sur,22.57,59.53,67.91,74,93,18.43,OM,1581532309
124,avarua,-21.21,-159.78,80.6,78,100,4.56,CK,1581532311
125,falmouth,50.15,-5.07,48.99,93,75,11.41,GB,1581532313
126,celestun,20.87,-90.4,80.04,75,2,4.59,MX,1581532315
127,makakilo city,21.35,-158.09,71.6,88,1,4.7,US,1581532317
128,rocha,-34.48,-54.33,80.15,41,40,14.97,UY,1581532319
129,beisfjord,68.38,17.6,30.99,100,75,11.41,NO,1581532321
130,guerrero negro,27.98,-114.06,62.53,35,0,2.08,MX,1581532107
131,faanui,-16.48,-151.75,81.55,81,4,15.95,PF,1581532325
132,barstow,34.9,-117.02,62.01,13,1,4.7,US,1581532227
133,wuxue,29.85,115.55,53.51,94,4,6.76,CN,1581532329
134,raga,8.46,25.68,71.01,14,46,5.86,SS,1581532331
135,macamic,48.75,-79.0,26.6,68,75,26.4,CA,1581532333
136,new bern,35.11,-77.04,62.6,44,90,10.29,US,1581532336
137,krasnoselkup,65.7,82.47,7.52,94,100,16.64,RU,1581532338
138,kashi,39.45,75.98,37.4,32,69,8.95,CN,1581532101
139,lakselv,70.05,24.97,23.0,79,97,24.16,NO,1581532342
140,pisco,-13.7,-76.22,73.0,30,75,12.75,PE,1581532344
141,los llanos de aridane,28.66,-17.92,72.0,82,20,9.17,ES,1581532346
142,kloulklubed,7.04,134.26,75.2,94,90,12.75,PW,1581532348
143,pevek,69.7,170.31,-1.91,65,22,5.37,RU,1581532350
144,saint anthony,45.02,-93.22,35.6,64,90,6.93,US,1581532352
145,guzelyurt,38.28,34.37,33.8,99,90,6.93,TR,1581532354
146,vegachi,6.76,-74.79,83.73,49,55,4.12,CO,1581532356
147,bredasdorp,-34.53,20.04,73.99,78,0,11.41,ZA,1581532358
148,nikolskoye,59.7,30.79,35.01,94,90,4.47,RU,1581532360
149,lagoa,39.05,-27.98,62.33,85,33,14.27,PT,1581532362
150,kahului,20.89,-156.47,70.0,88,20,5.82,US,1581532364
151,aksu,41.12,80.26,31.57,55,42,1.36,CN,1581532366
152,senador pompeu,-5.59,-39.37,87.91,51,46,6.58,BR,1581532368
153,biltine,14.53,20.92,68.36,11,28,12.41,TD,1581532370
154,hofn,64.25,-15.21,24.8,53,90,19.46,IS,1581532372
155,chara,56.91,118.26,-22.97,64,5,1.36,RU,1581532375
